customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
CUST_000001,96,4,131467.47999999998,3,2,3,New Customers
CUST_000002,464,2,31518.44,1,1,1,Lost Customers
CUST_000003,188,5,214192.9,2,3,4,At Risk
CUST_000004,30,9,178709.55,5,5,4,Champions
CUST_000005,89,7,254256.4,3,4,5,Champions
CUST_000006,266,3,73620.85,1,1,2,Lost Customers
CUST_000007,308,2,82990.39,1,1,2,Lost Customers
CUST_000008,4,2,12603.94,5,1,1,Potential Loyalists
CUST_000009,4,9,525486.57,5,5,5,Champions
CUST_000010,4,4,107313.02,5,2,3,Potential Loyalists
CUST_000011,250,3,15543.699999999999,1,1,1,Lost Customers
CUST_000012,129,5,107712.64,3,3,3,Loyal Customers
CUST_000013,11,5,80541.72,5,3,2,Potential Loyalists
CUST_000014,103,8,332298.69,3,5,5,Champions
CUST_000015,452,2,73407.76000000001,1,1,2,Lost Customers
CUST_000016,119,6,226793.56,3,4,5,Champions
CUST_000017,15,6,186197.87,5,4,4,Champions
CUST_000018,38,6,40305.119999999995,4,4,1,Potential Loyalists
CUST_000019,462,2,37618.51,1,1,1,Lost Customers
CUST_000020,72,2,64472.37,4,1,2,Potential Loyalists
CUST_000021,156,6,220724.75,2,4,4,Champions
CUST_000022,24,14,461316.31,5,5,5,Champions
CUST_000023,30,7,201063.75,5,4,4,Champions
CUST_000024,218,7,63518.96,2,4,2,At Risk
CUST_000025,83,7,52631.8,3,4,2,Others
CUST_000026,58,4,143836.72999999998,4,2,3,Potential Loyalists
CUST_000027,51,4,44210.19,4,2,1,Potential Loyalists
CUST_000028,535,3,105581.65,1,1,3,Lost Customers
CUST_000029,477,2,14070.16,1,1,1,Lost Customers
CUST_000030,82,5,70516.55,3,3,2,Others
CUST_000031,85,5,55715.28,3,3,2,Others
CUST_000032,151,6,145136.17,2,4,3,At Risk
CUST_000033,69,4,156172.93,4,2,4,Potential Loyalists
CUST_000034,265,1,2110.33,1,1,1,Lost Customers
CUST_000035,171,7,205116.48,2,4,4,Champions
CUST_000036,71,6,228087.47,4,4,5,Champions
CUST_000038,0,7,289173.62,5,4,5,Champions
CUST_000039,59,7,278655.03,4,4,5,Champions
CUST_000040,507,1,8902.52,1,1,1,Lost Customers
CUST_000041,160,3,15362.3,2,1,1,Lost Customers
CUST_000042,92,2,35215.43,3,1,1,New Customers
CUST_000043,408,2,6939.25,1,1,1,Lost Customers
CUST_000044,136,5,157685.24,2,3,4,At Risk
CUST_000045,191,3,123723.36,2,1,3,Lost Customers
CUST_000046,323,4,55176.490000000005,1,2,2,Lost Customers
CUST_000047,27,8,150828.91999999998,5,5,4,Champions
CUST_000048,725,1,6040.27,1,1,1,Lost Customers
CUST_000049,61,5,28969.25,4,3,1,Potential Loyalists
CUST_000050,166,5,143390.1,2,3,3,At Risk
CUST_000051,247,5,167483.21,1,3,4,At Risk
CUST_000052,88,4,10110.01,3,2,1,New Customers
CUST_000053,45,4,155829.79,4,2,4,Potential Loyalists
CUST_000054,4,5,107143.36,5,3,3,Loyal Customers
CUST_000055,123,2,126003.82,3,1,3,New Customers
CUST_000056,130,7,177700.95,3,4,4,Champions
CUST_000057,202,6,139331.56,2,4,3,At Risk
CUST_000058,37,7,381425.98,4,4,5,Champions
CUST_000059,42,2,12371.42,4,1,1,Potential Loyalists
CUST_000060,354,5,162578.58,1,3,4,At Risk
CUST_000061,37,9,234732.06,4,5,5,Champions
CUST_000062,212,5,229244.31,2,3,5,At Risk
CUST_000063,519,3,366599.12000000005,1,1,5,Lost Customers
CUST_000064,169,3,99210.01,2,1,3,Lost Customers
CUST_000065,257,4,30448.11,1,2,1,Lost Customers
CUST_000066,17,11,477061.98000000004,5,5,5,Champions
CUST_000067,160,5,131791.16999999998,2,3,3,At Risk
CUST_000068,153,6,141072.0,2,4,3,At Risk
CUST_000069,163,4,100035.01999999999,2,2,3,Lost Customers
CUST_000070,134,9,133891.91,2,5,3,At Risk
CUST_000071,64,6,47041.030000000006,4,4,1,Potential Loyalists
CUST_000072,14,9,426287.71,5,5,5,Champions
CUST_000073,138,3,99984.17,2,1,3,Lost Customers
CUST_000074,113,5,219368.64,3,3,4,Loyal Customers
CUST_000075,383,6,200879.74,1,4,4,Champions
CUST_000076,4,2,110086.19,5,1,3,Potential Loyalists
CUST_000077,11,10,339102.25,5,5,5,Champions
CUST_000078,115,7,280234.58999999997,3,4,5,Champions
CUST_000079,46,8,174910.48,4,5,4,Champions
CUST_000080,108,7,442469.22,3,4,5,Champions
CUST_000081,208,4,191144.86,2,2,4,Lost Customers
CUST_000082,26,5,197819.27000000002,5,3,4,Loyal Customers
CUST_000083,46,3,18174.120000000003,4,1,1,Potential Loyalists
CUST_000084,51,6,220742.02,4,4,4,Champions
CUST_000085,30,2,30427.05,5,1,1,Potential Loyalists
CUST_000086,83,8,200857.23,3,5,4,Champions
CUST_000087,133,4,43524.73,3,2,1,New Customers
CUST_000088,51,6,128542.33,4,4,3,Loyal Customers
CUST_000089,38,3,33110.53,4,1,1,Potential Loyalists
CUST_000090,562,1,1102.45,1,1,1,Lost Customers
CUST_000091,28,5,112280.73,5,3,3,Loyal Customers
CUST_000092,235,2,28392.329999999998,1,1,1,Lost Customers
CUST_000093,48,10,257175.88,4,5,5,Champions
CUST_000094,141,2,47428.899999999994,2,1,1,Lost Customers
CUST_000095,93,6,270173.33,3,4,5,Champions
CUST_000096,94,6,363949.42,3,4,5,Champions
CUST_000097,7,9,317387.30000000005,5,5,5,Champions
CUST_000098,35,4,216933.11000000002,4,2,4,Potential Loyalists
CUST_000099,122,6,250284.27,3,4,5,Champions
CUST_000100,4,7,146175.97999999998,5,4,4,Champions
CUST_000101,276,4,56742.42,1,2,2,Lost Customers
CUST_000102,280,2,22145.190000000002,1,1,1,Lost Customers
CUST_000103,180,6,371497.75,2,4,5,Champions
CUST_000104,120,4,50088.91,3,2,2,New Customers
CUST_000105,11,5,182067.69999999998,5,3,4,Loyal Customers
CUST_000106,69,5,20978.92,4,3,1,Potential Loyalists
CUST_000107,202,7,51916.29,2,4,2,At Risk
CUST_000108,111,4,34088.689999999995,3,2,1,New Customers
CUST_000109,96,3,191071.98,3,1,4,New Customers
CUST_000110,62,3,22734.079999999998,4,1,1,Potential Loyalists
CUST_000111,189,5,140250.05,2,3,3,At Risk
CUST_000112,11,10,213813.69,5,5,4,Champions
CUST_000113,115,3,297229.01,3,1,5,New Customers
CUST_000114,72,5,86770.54000000001,4,3,2,Potential Loyalists
CUST_000115,246,3,260983.14,1,1,5,Lost Customers
CUST_000116,8,10,96915.87,5,5,3,Loyal Customers
CUST_000117,294,4,127615.64,1,2,3,Lost Customers
CUST_000118,362,2,11978.89,1,1,1,Lost Customers
CUST_000119,50,8,358900.43,4,5,5,Champions
CUST_000120,1,6,203773.11,5,4,4,Champions
CUST_000121,200,5,141013.07,2,3,3,At Risk
CUST_000122,27,10,123720.92,5,5,3,Loyal Customers
CUST_000123,311,8,235448.83,1,5,5,Champions
CUST_000124,98,3,38002.86,3,1,1,New Customers
CUST_000125,119,5,94025.58,3,3,3,Loyal Customers
CUST_000126,109,6,103600.15,3,4,3,Loyal Customers
CUST_000127,257,4,60026.69,1,2,2,Lost Customers
CUST_000128,43,5,143990.16,4,3,3,Loyal Customers
CUST_000129,181,3,46610.96,2,1,1,Lost Customers
CUST_000130,173,5,346438.78,2,3,5,At Risk
CUST_000131,12,6,48431.56,5,4,1,Potential Loyalists
CUST_000132,82,9,159380.04,3,5,4,Champions
CUST_000133,137,7,388880.49,2,4,5,Champions
CUST_000134,69,2,14872.97,4,1,1,Potential Loyalists
CUST_000135,41,5,118455.42000000001,4,3,3,Loyal Customers
CUST_000136,3,6,215345.74,5,4,4,Champions
CUST_000137,21,7,196915.13,5,4,4,Champions
CUST_000138,710,1,148705.71,1,1,4,Lost Customers
CUST_000139,7,8,302948.48,5,5,5,Champions
CUST_000140,95,8,144852.43,3,5,3,Loyal Customers
CUST_000141,50,2,15762.95,4,1,1,Potential Loyalists
CUST_000142,224,5,100458.19,2,3,3,At Risk
CUST_000143,97,6,476410.23000000004,3,4,5,Champions
CUST_000144,28,4,161218.53,5,2,4,Potential Loyalists
CUST_000145,112,2,13548.640000000001,3,1,1,New Customers
CUST_000146,32,4,120570.5,5,2,3,Potential Loyalists
CUST_000147,130,6,356549.80000000005,3,4,5,Champions
CUST_000148,108,3,160982.56,3,1,4,New Customers
CUST_000149,135,5,199589.53,2,3,4,At Risk
CUST_000150,364,4,24617.88,1,2,1,Lost Customers
CUST_000151,13,10,313887.37,5,5,5,Champions
CUST_000152,308,4,84450.27,1,2,2,Lost Customers
CUST_000153,44,7,280707.14,4,4,5,Champions
CUST_000154,121,4,18123.81,3,2,1,New Customers
CUST_000155,293,2,109891.12,1,1,3,Lost Customers
CUST_000156,572,2,56316.96000000001,1,1,2,Lost Customers
CUST_000157,73,10,395553.3,4,5,5,Champions
CUST_000158,217,5,100567.54999999999,2,3,3,At Risk
CUST_000159,54,6,106781.77,4,4,3,Loyal Customers
CUST_000160,58,4,118812.5,4,2,3,Potential Loyalists
CUST_000161,24,5,121906.3,5,3,3,Loyal Customers
CUST_000162,5,3,105285.73999999999,5,1,3,Potential Loyalists
CUST_000163,55,3,27612.620000000003,4,1,1,Potential Loyalists
CUST_000164,98,7,121682.81,3,4,3,Loyal Customers
CUST_000165,145,7,205696.86,2,4,4,Champions
CUST_000166,699,1,5257.07,1,1,1,Lost Customers
CUST_000167,59,4,237896.03000000003,4,2,5,Potential Loyalists
CUST_000168,39,2,192621.01,4,1,4,Potential Loyalists
CUST_000169,79,5,156510.46,3,3,4,Loyal Customers
CUST_000170,124,7,107509.15000000001,3,4,3,Loyal Customers
CUST_000171,71,7,184290.94,4,4,4,Champions
CUST_000172,36,3,97548.62999999999,4,1,3,Potential Loyalists
CUST_000173,197,7,88134.36,2,4,2,At Risk
CUST_000174,33,8,230772.9,4,5,5,Champions
CUST_000175,189,5,210547.17,2,3,4,At Risk
CUST_000176,111,1,8483.88,3,1,1,New Customers
CUST_000177,97,4,90009.19,3,2,2,New Customers
CUST_000178,17,7,73994.86,5,4,2,Potential Loyalists
CUST_000179,415,1,3508.63,1,1,1,Lost Customers
CUST_000180,42,6,203932.23,4,4,4,Champions
CUST_000181,210,4,54853.3,2,2,2,Lost Customers
CUST_000182,140,4,57802.350000000006,2,2,2,Lost Customers
CUST_000183,138,8,180617.47,2,5,4,Champions
CUST_000184,0,11,344322.58,5,5,5,Champions
CUST_000185,224,3,135798.64,2,1,3,Lost Customers
